state,date,death,hospitalized,positive
ND,2021-01-31,1442,3780,97630
NE,2021-01-31,1920,5804,190713
NH,2021-01-31,1057,1037,65695
NJ,2021-01-31,21484,60544,696829
NM,2021-01-31,3283,12075,174064
NV,2021-01-31,4270,,278308
NY,2021-01-31,35178,,1410656
OH,2021-01-31,11175,46215,895792
OK,2021-01-31,3547,21921,389472
OR,2021-01-31,1957,7738,142416
PA,2021-01-31,21661,,843224
PR,2021-01-31,1829,,93624
RI,2021-01-31,2168,8179,115707
SC,2021-01-31,7042,18090,443386
SD,2021-01-31,1778,6290,108250
TN,2021-01-31,9650,17120,727861
TX,2021-01-31,36491,,2360632
UT,2021-01-31,1665,13468,346624
VA,2021-01-31,6464,21409,504779
VI,2021-01-31,24,,2398
VT,2021-01-31,174,,11965
WA,2021-01-31,4285,17706,311597
WI,2021-01-31,6434,24298,592140
WV,2021-01-31,2024,,121001
WY,2021-01-31,596,1284,51912
AK,2021-01-30,262,1205,52470
AL,2021-01-30,7566,41859,455582
AR,2021-01-30,4838,13599,294387
AS,2021-01-30,0,,0
AZ,2021-01-30,13098,52006,753379
CA,2021-01-30,40216,,3224374
CO,2021-01-30,5616,21812,395016
CT,2021-01-30,7046,,250023
DC,2021-01-30,909,,36662
DE,2021-01-30,1081,,77551
FL,2021-01-30,26795,73220,1682096
GA,2021-01-30,14196,50132,905858
GU,2021-01-30,129,,7586
HI,2021-01-30,407,2067,26436
IA,2021-01-30,4651,,266934
ID,2021-01-30,1725,6659,162355
IL,2021-01-30,21213,,1123873
IN,2021-01-30,9967,40266,624959
KS,2021-01-30,3779,8417,274685
KY,2021-01-30,3714,16659,361124
LA,2021-01-30,8801,,397276
MA,2021-01-30,14531,18008,521360
MD,2021-01-30,7107,31888,352726
ME,2021-01-30,590,1386,39168
MI,2021-01-30,15525,,610138
MN,2021-01-30,6187,24269,460819
MO,2021-01-30,6748,,457779
MP,2021-01-30,2,4,132
MS,2021-01-30,6018,8647,274190
MT,2021-01-30,1232,4246,93762
NC,2021-01-30,9287,,752627
ND,2021-01-30,1442,3778,97562
NE,2021-01-30,1920,5796,190570
NH,2021-01-30,1042,1033,65362
NJ,2021-01-30,21455,60471,692543
NM,2021-01-30,3265,12047,173539
NV,2021-01-30,4264,,277349
NY,2021-01-30,35036,,1399863
OH,2021-01-30,11121,46135,892781
OK,2021-01-30,3504,21768,386590
OR,2021-01-30,1938,7738,141729
PA,2021-01-30,21602,,839239
PR,2021-01-30,1823,,93406
RI,2021-01-30,2164,8179,115138
SC,2021-01-30,7014,17988,439785
SD,2021-01-30,1775,6286,108070
TN,2021-01-30,9574,17092,724742
TX,2021-01-30,36320,,2349262
UT,2021-01-30,1663,13427,345430
VA,2021-01-30,6449,21377,502221
VI,2021-01-30,24,,2398
VT,2021-01-30,173,,11831
WA,2021-01-30,4285,17543,309801
WI,2021-01-30,6430,24243,590997
WV,2021-01-30,2015,,120340
WY,2021-01-30,596,1279,51704
AK,2021-01-29,262,1202,52335
AL,2021-01-29,7566,41483,455582
AR,2021-01-29,4831,13552,292563
AS,2021-01-29,0,,0
AZ,2021-01-29,13022,51571,748260
CA,2021-01-29,39578,,3205947
CO,2021-01-29,5594,21744,393421
CT,2021-01-29,7046,,250023
DC,2021-01-29,907,,36414
DE,2021-01-29,1078,,76935
FL,2021-01-29,26685,72944,1667442
GA,2021-01-29,13986,49869,899515
GU,2021-01-29,129,,7579
HI,2021-01-29,407,2064,26321
IA,2021-01-29,4577,,266280
ID,2021-01-29,1721,6629,161720
IL,2021-01-29,21146,,1120528
IN,2021-01-29,9925,40150,622625
KS,2021-01-29,3779,8417,274685
KY,2021-01-29,3668,16546,358478
LA,2021-01-29,8801,,397276
MA,2021-01-29,14444,18008,517252
MD,2021-01-29,7076,31759,350629
ME,2021-01-29,570,1381,38813
MI,2021-01-29,15410,,608627
MN,2021-01-29,6168,24200,459747
MO,2021-01-29,6739,,456530
MP,2021-01-29,2,4,132
MS,2021-01-29,5983,8647,272662
MT,2021-01-29,1227,4217,93246
NC,2021-01-29,9157,,746459
ND,2021-01-29,1442,3775,97458
NE,2021-01-29,1921,5775,189597
NH,2021-01-29,1036,1029,64838
NJ,2021-01-29,21383,60326,687269
NM,2021-01-29,3248,11989,172798
NV,2021-01-29,4218,,276279
NY,2021-01-29,34893,,1387059
OH,2021-01-29,11070,45952,888590
OK,2021-01-29,3471,21620,384217
OR,2021-01-29,1930,7708,140783
PA,2021-01-29,21462,,834048
PR,2021-01-29,1812,,92968
RI,2021-01-29,2154,8179,114438
SC,2021-01-29,6942,17888,435633
SD,2021-01-29,1768,6272,107955
TN,2021-01-29,9461,16938,722491
TX,2021-01-29,35988,,2330028
UT,2021-01-29,1655,13353,343962
VA,2021-01-29,6379,21241,497912
VI,2021-01-29,24,,2398
VT,2021-01-29,172,,11658
WA,2021-01-29,4243,17517,307809
WI,2021-01-29,6390,24154,589384
WV,2021-01-29,2006,,119467
WY,2021-01-29,596,1279,51690
AK,2021-01-28,262,1201,52150
AL,2021-01-28,7340,41483,452734
AR,2021-01-28,4784,13505,290856
AS,2021-01-28,0,,0
AZ,2021-01-28,12819,51349,743232
CA,2021-01-28,38961,,3186610
CO,2021-01-28,5569,21713,391699
CT,2021-01-28,7020,,248765
DC,2021-01-28,902,,36132
DE,2021-01-28,1075,,76495
FL,2021-01-28,26456,72603,1656697
GA,2021-01-28,13827,49608,892957
GU,2021-01-28,129,,7572
HI,2021-01-28,406,2064,26169
IA,2021-01-28,4532,,265546
ID,2021-01-28,1714,6604,161212
IL,2021-01-28,21074,,1116372
IN,2021-01-28,9879,40018,619995
KS,2021-01-28,3718,8268,272517
KY,2021-01-28,3611,16404,355877
LA,2021-01-28,8743,,394909
MA,2021-01-28,14348,18008,514134
MD,2021-01-28,7037,31614,348749
ME,2021-01-28,567,1375,38454
MI,2021-01-28,15402,,606488
MN,2021-01-28,6140,24126,458633
MO,2021-01-28,6725,,454573
MP,2021-01-28,2,4,132
MS,2021-01-28,5945,8647,270476
MT,2021-01-28,1210,4203,92934
NC,2021-01-28,9046,,739500
ND,2021-01-28,1442,3766,97305
NE,2021-01-28,1917,5756,188784
NH,2021-01-28,1022,1021,64258
NJ,2021-01-28,21301,60125,681283
NM,2021-01-28,3226,11906,171719
NV,2021-01-28,4181,,274951
NY,2021-01-28,34742,,1374480
OH,2021-01-28,11006,45786,883716
OK,2021-01-28,3423,21478,381430
OR,2021-01-28,1924,7664,140063
PA,2021-01-28,21303,,824405
PR,2021-01-28,1801,,92541
RI,2021-01-28,2144,8131,113754
SC,2021-01-28,6903,17739,431169
SD,2021-01-28,1763,6264,107795
TN,2021-01-28,9417,16938,717583
TX,2021-01-28,35639,,2310952
UT,2021-01-28,1620,13279,342445
VA,2021-01-28,6308,21113,493674
VI,2021-01-28,24,,2384
VT,2021-01-28,172,,11523
WA,2021-01-28,4211,17449,305289
WI,2021-01-28,6334,24063,587580
WV,2021-01-28,1983,,118562
WY,2021-01-28,596,1272,51430
AK,2021-01-27,261,1200,51951
AL,2021-01-27,7172,41483,449086
AR,2021-01-27,4742,13447,288964
AS,2021-01-27,0,,0
AZ,2021-01-27,12643,51037,738561
CA,2021-01-27,38224,,3169914
CO,2021-01-27,5552,21610,390258
CT,2021-01-27,6976,,247339
DC,2021-01-27,895,,35865
DE,2021-01-27,1072,,75832
FL,2021-01-27,26249,72215,1645507
GA,2021-01-27,13643,49247,885605
GU,2021-01-27,129,,7568
HI,2021-01-27,404,2057,26070
IA,2021-01-27,4500,,264583
ID,2021-01-27,1688,6560,160592
IL,2021-01-27,20949,,1112181
IN,2021-01-27,9845,39894,617176
KS,2021-01-27,3718,8268,272517
KY,2021-01-27,3542,16101,352943
LA,2021-01-27,8688,,392416
MA,2021-01-27,14304,18008,509503
MD,2021-01-27,6996,31468,346559
ME,2021-01-27,562,1366,38170
MI,2021-01-27,15314,,604233
MN,2021-01-27,6124,24073,457317
MO,2021-01-27,6709,,452937
MP,2021-01-27,2,4,132
MS,2021-01-27,5917,8647,268672
MT,2021-01-27,1201,4177,92531
NC,2021-01-27,8915,,733010
ND,2021-01-27,1441,3757,97160
NE,2021-01-27,1905,5729,188122
NH,2021-01-27,1006,1014,63563
NJ,2021-01-27,21220,59879,676537
NM,2021-01-27,3198,11824,171047
NV,2021-01-27,4134,,273873
NY,2021-01-27,34579,,1361082
OH,2021-01-27,10931,45530,878284
OK,2021-01-27,3388,21314,379110
OR,2021-01-27,1904,7592,139355
PA,2021-01-27,21105,,818369
PR,2021-01-27,1794,,92244
RI,2021-01-27,2135,8098,113009
SC,2021-01-27,6673,17580,427231
SD,2021-01-27,1739,6242,107608
TN,2021-01-27,9316,16823,715806
TX,2021-01-27,35168,,2292732
UT,2021-01-27,1620,13217,340684
VA,2021-01-27,6228,20986,488553
VI,2021-01-27,24,,2373
VT,2021-01-27,172,,11379
WA,2021-01-27,4167,17354,303482
WI,2021-01-27,6302,23976,585600
WV,2021-01-27,1953,,117775
WY,2021-01-27,596,1270,51368
AK,2021-01-26,260,1194,51778
AL,2021-01-26,6896,41315,445909
AR,2021-01-26,4690,13401,287187
AS,2021-01-26,0,,0
AZ,2021-01-26,12448,50657,732643
CA,2021-01-26,37527,,3153186
CO,2021-01-26,5517,21562,388620
CT,2021-01-26,6934,,244899
DC,2021-01-26,888,,35700
DE,2021-01-26,1065,,75490
FL,2021-01-26,26080,71852,1637296
GA,2021-01-26,13482,48915,879221
GU,2021-01-26,129,,7566
HI,2021-01-26,401,2050,25967
IA,2021-01-26,4492,,263852
ID,2021-01-26,1681,6525,160033
IL,2021-01-26,20853,,1108430
IN,2021-01-26,9807,39753,614946
KS,2021-01-26,3622,8117,269255
KY,2021-01-26,3495,16002,350528
LA,2021-01-26,8621,,388562
MA,2021-01-26,14220,17556,506183
MD,2021-01-26,6963,31330,344620
ME,2021-01-26,558,1357,37708
MI,2021-01-26,15305,,602168
MN,2021-01-26,6106,24014,456490
MO,2021-01-26,6686,,451493
MP,2021-01-26,2,4,132
MS,2021-01-26,5852,8647,266598
MT,2021-01-26,1185,4141,92160
NC,2021-01-26,8776,,727423
ND,2021-01-26,1440,3752,97006
NE,2021-01-26,1894,5702,187793
NH,2021-01-26,994,1012,63172
NJ,2021-01-26,21105,59661,671727
NM,2021-01-26,3171,11700,170296
NV,2021-01-26,4088,,272853
NY,2021-01-26,34407,,1350054
OH,2021-01-26,10856,45276,872918
OK,2021-01-26,3323,21093,376424
OR,2021-01-26,1882,7545,138587
PA,2021-01-26,20883,,812495
PR,2021-01-26,1783,,92069
RI,2021-01-26,2126,8063,112396
SC,2021-01-26,6578,17390,423667
SD,2021-01-26,1705,6216,107380
TN,2021-01-26,9162,16707,712406
TX,2021-01-26,34701,,2273119
UT,2021-01-26,1613,13137,338675
VA,2021-01-26,6174,20860,483326
VI,2021-01-26,24,,2350
VT,2021-01-26,171,,11285
WA,2021-01-26,4148,17259,302141
WI,2021-01-26,6264,23883,584041
WV,2021-01-26,1928,,116978
WY,2021-01-26,596,1265,51152
AK,2021-01-25,259,1185,51693
AL,2021-01-25,6662,41069,443009
AR,2021-01-25,4650,13312,284702
AS,2021-01-25,0,,0
AZ,2021-01-25,12239,50483,727895
CA,2021-01-25,37118,,3136158
CO,2021-01-25,5512,21263,387462
CT,2021-01-25,6911,,243632
DC,2021-01-25,879,,35505
DE,2021-01-25,1049,,75191
FL,2021-01-25,25849,71387,1627830
GA,2021-01-25,13303,48498,870828
GU,2021-01-25,129,,7554
HI,2021-01-25,342,2039,25903
IA,2021-01-25,4488,,263261
ID,2021-01-25,1669,6496,159506
IL,2021-01-25,20744,,1104763
IN,2021-01-25,9728,39609,613228
KS,2021-01-25,3622,8117,269255
KY,2021-01-25,3460,15919,347836
LA,2021-01-25,8590,,385942
MA,2021-01-25,14178,17556,503688
MD,2021-01-25,6900,31188,343138
ME,2021-01-25,547,1342,37046
MI,2021-01-25,15219,,600093
MN,2021-01-25,6098,23932,455783
MO,2021-01-25,6553,,450414
MP,2021-01-25,2,4,132
MS,2021-01-25,5777,8647,265146
MT,2021-01-25,1151,4128,91816
NC,2021-01-25,8720,,723445
ND,2021-01-25,1436,3745,96874
NE,2021-01-25,1879,5682,187147
NH,2021-01-25,990,1007,62768
NJ,2021-01-25,20972,59438,666951
NM,2021-01-25,3157,11598,169696
NV,2021-01-25,4029,,271897
NY,2021-01-25,34242,,1338990
OH,2021-01-25,10768,44981,868656
OK,2021-01-25,3293,21053,374853
OR,2021-01-25,1880,7469,138168
PA,2021-01-25,20664,,807867
PR,2021-01-25,1778,,91596
RI,2021-01-25,2110,8006,111754
SC,2021-01-25,6552,17335,421417
SD,2021-01-25,1705,6201,107180
TN,2021-01-25,8970,16560,710427
TX,2021-01-25,34394,,2246845
UT,2021-01-25,1597,13054,337264
VA,2021-01-25,6081,20764,478619
VI,2021-01-25,24,,2341
VT,2021-01-25,171,,11165
WA,2021-01-25,4114,17129,300198
WI,2021-01-25,6199,23748,582477
WV,2021-01-25,1899,,115839
WY,2021-01-25,571,1264,51062
AK,2021-01-24,259,1185,51610
AL,2021-01-24,6660,40514,441170
AR,2021-01-24,4606,13267,284066
AS,2021-01-24,0,,0
AZ,2021-01-24,12238,50264,722574
CA,2021-01-24,36790,,3109151
CO,2021-01-24,5505,21237,386285
CT,2021-01-24,6819,,237815
DC,2021-01-24,872,,35301
DE,2021-01-24,1041,,74575
FL,2021-01-24,25693,71219,1619288
GA,2021-01-24,13250,48385,866911
GU,2021-01-24,128,,7547
HI,2021-01-24,342,2014,25782
IA,2021-01-24,4488,,262860
ID,2021-01-24,1668,6481,159325
IL,2021-01-24,20680,,1101819
IN,2021-01-24,9716,39505,611039
KS,2021-01-24,3598,8041,266653
KY,2021-01-24,3421,15889,346586
LA,2021-01-24,8565,,383862
MA,2021-01-24,14133,17556,500037
MD,2021-01-24,6865,31034,341452
ME,2021-01-24,544,1322,36598
MI,2021-01-24,15181,,596746
MN,2021-01-24,6095,23884,454989
MO,2021-01-24,6548,,449535
MP,2021-01-24,2,4,129
MS,2021-01-24,5772,8546,264219
MT,2021-01-24,1151,4125,91652
NC,2021-01-24,8695,,718812
ND,2021-01-24,1428,3741,96817
NE,2021-01-24,1879,5678,186854
NH,2021-01-24,987,1000,62337
NJ,2021-01-24,20951,59369,662808
NM,2021-01-24,3145,11523,169205
NV,2021-01-24,4026,,270907
NY,2021-01-24,34069,,1326987
OH,2021-01-24,10711,44783,864322
OK,2021-01-24,3279,21020,373090
OR,2021-01-24,1877,7469,137600
PA,2021-01-24,20609,,803933
PR,2021-01-24,1773,,91028
RI,2021-01-24,2101,7844,111453
SC,2021-01-24,6547,17289,418325
SD,2021-01-24,1705,6193,107148
TN,2021-01-24,8859,16504,708717
TX,2021-01-24,34322,,2240526
UT,2021-01-24,1595,13016,336405
VA,2021-01-24,6078,20712,472447
VI,2021-01-24,24,,2341
VT,2021-01-24,170,,11033
WA,2021-01-24,4114,17129,300198
WI,2021-01-24,6190,23692,581377
WV,2021-01-24,1895,,115307
WY,2021-01-24,571,1259,50898
AK,2021-01-23,259,1184,51445
AL,2021-01-23,6657,40514,439442
AR,2021-01-23,4563,13250,282995
AS,2021-01-23,0,,0
AZ,2021-01-23,12170,49963,715357
CA,2021-01-23,36361,,3085040
CO,2021-01-23,5482,21219,384966
CT,2021-01-23,6819,,237815
DC,2021-01-23,870,,35077
DE,2021-01-23,1036,,73915
FL,2021-01-23,25561,71037,1609953
GA,2021-01-23,13246,48270,862158
GU,2021-01-23,128,,7547
HI,2021-01-23,336,2014,25631
IA,2021-01-23,4487,,262149
ID,2021-01-23,1667,6464,158798
IL,2021-01-23,20645,,1098527
IN,2021-01-23,9693,39396,608519
KS,2021-01-23,3598,8041,266653
KY,2021-01-23,3386,15855,344568
LA,2021-01-23,8483,,380255
MA,2021-01-23,14064,17556,496093
MD,2021-01-23,6837,30866,339307
ME,2021-01-23,544,1322,36598
MI,2021-01-23,15181,,596746
MN,2021-01-23,6063,23865,453808
MO,2021-01-23,6541,,447398
MP,2021-01-23,2,4,129
MS,2021-01-23,5752,8546,263023
MT,2021-01-23,1141,4112,91410
NC,2021-01-23,8586,,712716
ND,2021-01-23,1428,3739,96720
NE,2021-01-23,1878,5670,186255
NH,2021-01-23,981,992,61576
NJ,2021-01-23,20934,59264,657536
NM,2021-01-23,3115,11457,168579
NV,2021-01-23,4011,,269713
NY,2021-01-23,33907,,1314267
OH,2021-01-23,10680,44685,859841
OK,2021-01-23,3231,20849,370149
OR,2021-01-23,1865,7469,136839
PA,2021-01-23,20526,,799957
PR,2021-01-23,1771,,90073
RI,2021-01-23,2097,7844,110711
SC,2021-01-23,6479,17164,413789
SD,2021-01-23,1696,6177,106963
TN,2021-01-23,8819,16481,705876
TX,2021-01-23,34114,,2228961
UT,2021-01-23,1582,12948,334889
VA,2021-01-23,6079,20654,468655
VI,2021-01-23,24,,2335
VT,2021-01-23,170,,10908
WA,2021-01-23,4114,17037,298249
WI,2021-01-23,6184,23625,580003
WV,2021-01-23,1872,,114752
WY,2021-01-23,571,1251,50583
AK,2021-01-22,254,1184,51204
AL,2021-01-22,6486,40514,436087
AR,2021-01-22,4549,13130,281382
AS,2021-01-22,0,,0
AZ,2021-01-22,12001,49602,708041
CA,2021-01-22,35768,,3062068
CO,2021-01-22,5462,21146,383008
CT,2021-01-22,6819,,237815
DC,2021-01-22,867,,34905
DE,2021-01-22,1027,,73233
FL,2021-01-22,25405,70767,1597849
GA,2021-01-22,13060,47950,853173
GU,2021-01-22,128,,7547
HI,2021-01-22,332,2014,25498
IA,2021-01-22,4478,,261193
ID,2021-01-22,1654,6440,158200
IL,2021-01-22,20534,,1093375
IN,2021-01-22,9642,39242,605426
KS,2021-01-22,3598,8041,266653
KY,2021-01-22,3337,15760,340779
LA,2021-01-22,8483,,380255
MA,2021-01-22,13987,17556,491452
MD,2021-01-22,6792,30697,336915
ME,2021-01-22,540,1309,36274
MI,2021-01-22,14951,,594920
MN,2021-01-22,6032,23767,452268
MO,2021-01-22,6527,,445621
MP,2021-01-22,2,4,129
MS,2021-01-22,5713,8546,261167
MT,2021-01-22,1104,4081,91049
NC,2021-01-22,8464,,705535
ND,2021-01-22,1428,3736,96567
NE,2021-01-22,1868,5647,185346
NH,2021-01-22,971,989,60951
NJ,2021-01-22,20875,55355,650389
NM,2021-01-22,3077,11412,167731
NV,2021-01-22,3958,,268212
NY,2021-01-22,33763,,1300481
OH,2021-01-22,10599,44519,853982
OK,2021-01-22,3187,20692,365992
OR,2021-01-22,1843,7426,135973
PA,2021-01-22,20321,,794172
PR,2021-01-22,1761,,89282
RI,2021-01-22,2083,7844,109735
SC,2021-01-22,6404,17027,409188
SD,2021-01-22,1684,6159,106716
TN,2021-01-22,8777,16422,701847
TX,2021-01-22,33707,,2211289
UT,2021-01-22,1571,12884,333118
VA,2021-01-22,6002,20544,463751
VI,2021-01-22,24,,2321
VT,2021-01-22,169,,10759
WA,2021-01-22,4065,16939,296087
WI,2021-01-22,6135,23536,577991
WV,2021-01-22,1856,,113615
WY,2021-01-22,571,1251,50583
AK,2021-01-21,254,1177,50941
AL,2021-01-21,6379,40277,432536
AR,2021-01-21,4496,13055,279220
AS,2021-01-21,0,,0
AZ,2021-01-21,11772,48604,699942
CA,2021-01-21,35004,,3039044
CO,2021-01-21,5440,21041,381210
CT,2021-01-21,6774,,235796
DC,2021-01-21,864,,34612
DE,2021-01-21,1027,,72523
FL,2021-01-21,25128,70306,1584442
GA,2021-01-21,12889,47680,844799
GU,2021-01-21,128,,7528
HI,2021-01-21,328,2005,25329
IA,2021-01-21,4445,,260227
ID,2021-01-21,1635,6406,157588
IL,2021-01-21,20423,,1086333
IN,2021-01-21,9593,39045,601937
KS,2021-01-21,3575,7930,263412
KY,2021-01-21,3301,15692,338034
LA,2021-01-21,8442,,378318
MA,2021-01-21,13906,17556,486180
MD,2021-01-21,6735,30498,334519
ME,2021-01-21,536,1294,35638
MI,2021-01-21,14933,,592382
MN,2021-01-21,6011,23676,450762
MO,2021-01-21,6485,,443838
MP,2021-01-21,2,4,129
MS,2021-01-21,5668,8546,259117
MT,2021-01-21,1100,4049,90649
NC,2021-01-21,8339,,698099
ND,2021-01-21,1422,3732,96370
NE,2021-01-21,1862,5632,184482
NH,2021-01-21,962,982,60294
NJ,2021-01-21,20760,55191,646189
NM,2021-01-21,3044,11340,166823
NV,2021-01-21,3910,,266343
NY,2021-01-21,33594,,1285337
OH,2021-01-21,10518,44315,849704
OK,2021-01-21,3140,20505,363046
OR,2021-01-21,1832,7387,135142
PA,2021-01-21,20128,,788834
PR,2021-01-21,1732,,88728
RI,2021-01-21,2076,7787,108786
SC,2021-01-21,6373,16869,404492
SD,2021-01-21,1673,6133,106400
TN,2021-01-21,8684,16344,697783
TX,2021-01-21,33285,,2188643
UT,2021-01-21,1547,12803,330469
VA,2021-01-21,5940,20405,459604
VI,2021-01-21,24,,2305
VT,2021-01-21,168,,10580
WA,2021-01-21,3940,16848,294017
WI,2021-01-21,6090,23445,575688
WV,2021-01-21,1849,,112617
WY,2021-01-21,550,1248,50424
AK,2021-01-20,253,1170,50732
AL,2021-01-20,6283,39928,429655
AR,2021-01-20,4441,12982,276114
AS,2021-01-20,0,,0
AZ,2021-01-20,11528,48207,690544
CA,2021-01-20,34433,,3019371
CO,2021-01-20,5422,20977,379227
CT,2021-01-20,6726,,234134
DC,2021-01-20,863,,34403
DE,2021-01-20,1026,,71775
FL,2021-01-20,24965,69954,1571840
GA,2021-01-20,12778,47311,836649
GU,2021-01-20,128,,7521
HI,2021-01-20,325,1996,25210
IA,2021-01-20,4394,,258865
ID,2021-01-20,1637,6370,156778
IL,2021-01-20,20285,,1081354
IN,2021-01-20,9529,38857,598313
KS,2021-01-20,3575,7930,263412
KY,2021-01-20,3243,15562,334321
LA,2021-01-20,8383,,374582
MA,2021-01-20,13829,17556,481040
MD,2021-01-20,6689,30327,332353
ME,2021-01-20,530,1287,34963
MI,2021-01-20,14770,,589869
MN,2021-01-20,5979,23608,449492
MO,2021-01-20,6461,,441789
MP,2021-01-20,2,4,129
MS,2021-01-20,5638,8546,256827
MT,2021-01-20,1094,4022,90255
NC,2021-01-20,8200,,690912
ND,2021-01-20,1409,3723,96222
NE,2021-01-20,1850,5590,183318
NH,2021-01-20,950,976,59437
NJ,2021-01-20,20664,55007,641140
NM,2021-01-20,3009,11280,165835
NV,2021-01-20,3863,,265143
NY,2021-01-20,33415,,1271451
OH,2021-01-20,10409,44009,842433
OK,2021-01-20,3085,20295,360360
OR,2021-01-20,1808,7324,134468
PA,2021-01-20,19868,,783170
PR,2021-01-20,1717,,88513
RI,2021-01-20,2058,7720,107876
SC,2021-01-20,6328,16689,399843
SD,2021-01-20,1667,6109,106063
TN,2021-01-20,8556,16233,694291
TX,2021-01-20,32844,,2166283
UT,2021-01-20,1517,12729,328380
VA,2021-01-20,5861,20231,455591
VI,2021-01-20,24,,2283
VT,2021-01-20,165,,10471
WA,2021-01-20,3940,16642,291989
WI,2021-01-20,6035,23363,573119
WV,2021-01-20,1836,,111677
WY,2021-01-20,550,1240,50124
AK,2021-01-19,230,1162,50572
AL,2021-01-19,6126,39504,426543
AR,2021-01-19,4386,12851,273594
AS,2021-01-19,0,,0
AZ,2021-01-19,11266,47721,685699
CA,2021-01-19,33739,,2996968
CO,2021-01-19,5388,20769,377856
CT,2021-01-19,6682,,232219
DC,2021-01-19,861,,34259
DE,2021-01-19,1021,,71311
FL,2021-01-19,24820,69483,1560015
GA,2021-01-19,12582,47006,828444
GU,2021-01-19,128,,7515
HI,2021-01-19,324,1983,25136
IA,2021-01-19,4332,,258148
ID,2021-01-19,1607,6307,155554
IL,2021-01-19,20153,,1076532
IN,2021-01-19,9466,38695,595436
KS,2021-01-19,3525,7807,259822
KY,2021-01-19,3194,15441,330907
LA,2021-01-19,8324,,372089
MA,2021-01-19,13749,17109,476526
MD,2021-01-19,6650,30157,330186
ME,2021-01-19,519,1269,34262
MI,2021-01-19,14735,,587448
MN,2021-01-19,5945,23517,448268
MO,2021-01-19,6263,,440197
MP,2021-01-19,2,4,129
MS,2021-01-19,5574,8546,255125
MT,2021-01-19,1093,3992,89864
NC,2021-01-19,8139,,684497
ND,2021-01-19,1408,3719,96071
NE,2021-01-19,1842,5590,182418
NH,2021-01-19,938,971,58709
NJ,2021-01-19,20512,54802,635702
NM,2021-01-19,2975,11210,164954
NV,2021-01-19,3792,,263972
NY,2021-01-19,33224,,1258087
OH,2021-01-19,10336,43605,836055
OK,2021-01-19,3037,20095,358374
OR,2021-01-19,1803,7198,133851
PA,2021-01-19,19467,,777186
PR,2021-01-19,1703,,88373
RI,2021-01-19,2045,7650,107066
SC,2021-01-19,6259,16511,394318
SD,2021-01-19,1667,6092,105786
TN,2021-01-19,8470,16134,689808
TX,2021-01-19,32394,,2135028
UT,2021-01-19,1507,12645,326221
VA,2021-01-19,5798,20066,451076
VI,2021-01-19,24,,2260
VT,2021-01-19,163,,10321
WA,2021-01-19,3903,16558,289939
WI,2021-01-19,5973,23244,571268
WV,2021-01-19,1815,,110820
WY,2021-01-19,550,1236,49922
AK,2021-01-18,229,1153,50447
AL,2021-01-18,6121,39504,424028
AR,2021-01-18,4343,12756,272263
AS,2021-01-18,0,,0
AZ,2021-01-18,11265,47195,679282
CA,2021-01-18,33593,,2973174
CO,2021-01-18,5386,20717,376171
CT,2021-01-18,6670,,230125
DC,2021-01-18,857,,34033
DE,2021-01-18,1016,,70910
FL,2021-01-18,24657,69165,1550444
GA,2021-01-18,12360,46741,820952
GU,2021-01-18,128,,7485
HI,2021-01-18,322,1928,25072
IA,2021-01-18,4324,,257431
ID,2021-01-18,1607,6307,155554
IL,2021-01-18,20118,,1072214
IN,2021-01-18,9340,38544,592709
KS,2021-01-18,3525,7807,259822
KY,2021-01-18,3167,15347,328668
LA,2021-01-18,8253,,369951
MA,2021-01-18,13705,17109,473441
MD,2021-01-18,6596,29842,328214
ME,2021-01-18,514,1254,33876
MI,2021-01-18,14686,,585128
MN,2021-01-18,5939,23428,447349
MO,2021-01-18,6256,,438840
MP,2021-01-18,2,4,128
MS,2021-01-18,5524,8546,253932
MT,2021-01-18,1093,3974,89576
NC,2021-01-18,8083,,674637
ND,2021-01-18,1395,3710,95934
NE,2021-01-18,1837,5575,181978
NH,2021-01-18,933,957,57864
NJ,2021-01-18,20458,54566,631074
NM,2021-01-18,2958,11175,164263
NV,2021-01-18,3784,,262794
NY,2021-01-18,33052,,1245575
OH,2021-01-18,10281,43351,831066
OK,2021-01-18,2994,20063,356816
OR,2021-01-18,1800,7198,133205
PA,2021-01-18,19390,,771845
PR,2021-01-18,1703,,87939
RI,2021-01-18,2033,7432,106705
SC,2021-01-18,6248,16474,391464
SD,2021-01-18,1667,6082,105659
TN,2021-01-18,8430,16061,687751
TX,2021-01-18,32084,,2125552
UT,2021-01-18,1500,12576,324919
VA,2021-01-18,5739,19982,446550
VI,2021-01-18,24,,2260
VT,2021-01-18,163,,10220
WA,2021-01-18,3903,16558,289939
WI,2021-01-18,5926,23130,569335
WV,2021-01-18,1784,,109809
WY,2021-01-18,522,1232,49708
AK,2021-01-17,229,1153,50296
AL,2021-01-17,6120,38763,422598
AR,2021-01-17,4311,12701,271154
AS,2021-01-17,0,,0
AZ,2021-01-17,11266,47081,673882
CA,2021-01-17,33392,,2942475
CO,2021-01-17,5379,20687,374981
CT,2021-01-17,6594,,223422
DC,2021-01-17,850,,33851
DE,2021-01-17,1016,,70294
FL,2021-01-17,24515,68987,1542567
GA,2021-01-17,12296,46619,815995
GU,2021-01-17,127,,7484
HI,2021-01-17,322,1928,24943
IA,2021-01-17,4323,,256951
ID,2021-01-17,1605,6295,155276
IL,2021-01-17,20050,,1068829
