state,date,death,hospitalized,positive
OR,2021-03-05,2284,8699,156673
PA,2021-03-05,24262,,944196
PR,2021-03-05,2056,,101066
RI,2021-03-05,2541,9020,128121
SC,2021-03-05,8699,20605,523258
SD,2021-03-05,1896,6681,113229
TN,2021-03-05,11534,18837,780894
TX,2021-03-05,44134,,2678295
UT,2021-03-05,1970,14841,373868
VA,2021-03-05,9428,24514,583060
VI,2021-03-05,25,,2714
VT,2021-03-05,207,,15819
WA,2021-03-05,5032,19500,343090
WI,2021-03-05,7094,26387,620663
WV,2021-03-05,2318,,132964
WY,2021-03-05,682,1391,54764
AK,2021-03-04,303,1290,56745
AL,2021-03-04,10094,45807,498076
AR,2021-03-04,5273,14876,323756
AS,2021-03-04,0,,0
AZ,2021-03-04,16185,57747,821108
CA,2021-03-04,53048,,3488467
CO,2021-03-04,5974,23791,433021
CT,2021-03-04,7693,,284500
DC,2021-03-04,1024,,41014
DE,2021-03-04,1444,,87643
FL,2021-03-04,31955,81600,1894722
GA,2021-03-04,17750,56512,1017428
GU,2021-03-04,131,,7747
HI,2021-03-04,441,2225,28466
IA,2021-03-04,5536,,281391
ID,2021-03-04,1876,7144,172288
IL,2021-03-04,22902,,1193260
IN,2021-03-04,12663,43044,664446
KS,2021-03-04,4816,9355,295109
KY,2021-03-04,4732,19364,408440
LA,2021-03-04,9686,,432527
MA,2021-03-04,16296,19713,586310
MD,2021-03-04,7922,35304,384765
ME,2021-03-04,705,1549,45227
MI,2021-03-04,16589,,652589
MN,2021-03-04,6521,25896,487374
MO,2021-03-04,8150,,479536
MP,2021-03-04,2,4,144
MS,2021-03-04,6764,9162,296154
MT,2021-03-04,1375,4608,100531
NC,2021-03-04,11399,,868056
ND,2021-03-04,1478,3875,100184
NE,2021-03-04,2092,6157,201973
NH,2021-03-04,1178,1127,76178
NJ,2021-03-04,23491,64137,802669
NM,2021-03-04,3769,13215,186156
NV,2021-03-04,5005,,295069
NY,2021-03-04,38796,,1657777
OH,2021-03-04,17189,50695,974480
OK,2021-03-04,4534,24103,426641
OR,2021-03-04,2252,8682,156287
PA,2021-03-04,24219,,941439
PR,2021-03-04,2053,,100867
RI,2021-03-04,2539,9002,127727
SC,2021-03-04,8660,20542,521563
SD,2021-03-04,1896,6664,113065
TN,2021-03-04,11501,18779,779449
TX,2021-03-04,43878,,2671442
UT,2021-03-04,1955,14783,372708
VA,2021-03-04,9357,24414,581408
VI,2021-03-04,25,,2704
VT,2021-03-04,207,,15686
WA,2021-03-04,5012,19466,342236
WI,2021-03-04,7082,26330,619942
WV,2021-03-04,2309,,132677
WY,2021-03-04,682,1389,54685
AK,2021-03-03,303,1285,56605
AL,2021-03-03,10029,45723,497154
AR,2021-03-03,5261,14826,323353
AS,2021-03-03,0,,0
AZ,2021-03-03,16089,57697,819954
